Avg_Duration,RSI,SMA,p_l_ratio_x,Fast_EMA,Slow_EMA,Signal_period,p_l_ratio_y
6,40,10,1.422221587,5,10,5,1.100704012
7,7,41,1.538425029,5,26,5,1.150461249
8,8,38,1.549684115,5,200,5,1.189398381
9,27,21,1.562603297,5,50,7,1.133141771
10,14,200,1.496100578,5,150,7,1.2620109
11,15,200,1.453695323,5,100,9,1.230953033
12,44,46,1.493682639,5,75,12,1.208717085
13,49,46,1.535275526,5,50,20,1.178475056
14,50,47,1.496037555,15,50,7,1.263457703
15,44,62,1.437371973,15,75,7,1.330836859
16,45,66,1.378953014,25,35,7,1.336828164
17,48,133,1.258056686,12,50,12,1.314631791
18,49,151,1.094045694,25,200,5,1.274386686
